"time","ID","lamygdala","ramygdala","lFFA","rFFA","lSTS","rSTS","lMMPFC","rMMPFC"
1,"080",0.866514,-0.28270096,-0.35534507,-1.3890644,0.1292462,-1.1331218,1.3721441,0.8855196
1,"081",1.1592673,0.6420109,2.0242493,-0.13130213,0.76834667,-1.1103721,0.44221458,-0.9560113
1,"082",-1.7302749,-0.9372092,-0.75221145,-0.93084705,-0.76979816,-1.3698399,1.0865281,0.2077603
1,"083",-1.1534536,-0.8654831,-0.71386504,-1.262537,-0.71141934,-0.6644517,0.5221738,-0.087786004
1,"084",-0.986425,-0.35677138,-0.9087652,-1.113735,-0.6117602,0.21182966,0.4978327,0.21708329
1,"085",0.703909,0.32013565,-1.3726737,0.17300051,0.1416297,-0.5785989,1.7433007,-0.7671073
1,"086",-0.32493192,0.6803584,-0.7587118,-1.3140719,0.8072364,-0.81620675,1.0163122,0.53916657
1,"087",0.20154011,0.045130465,0.14830005,-0.339549,0.35465723,0.34415993,1.5946779,1.5680236
1,"088",0.2853975,-0.3020302,-0.7490966,-0.97560894,-0.81825924,-0.84134054,-0.35785353,-1.0588007
1,"089",0.1880354,-0.41640583,-0.58523,-1.1483371,0.28191954,-1.3748062,0.14953867,-0.18143187
1,"090",-1.2384312,-1.9667546,-0.1814184,-0.7151119,0.30560517,-0.3430999,-0.7797472,-0.67249936
1,"091",-0.517353,-0.16593674,-1.1502607,-0.72365654,0.85929507,0.052934814,0.40181404,-0.2589015
1,"092",-1.0510377,-1.2901515,-0.59861743,-1.122232,0.18680994,0.25226843,-0.33970037,0.06712265
1,"093",2.112276,1.7444998,-0.7175862,-0.32356685,0.76052636,0.026073962,0.80889034,1.3338523
1,"094",0.5566536,0.22389345,-0.3746101,-0.8363234,1.6510773,-1.2220803,0.49618372,0.43465585
1,"095",-0.6210854,-1.0609417,-1.3270708,-0.41603455,0.035996947,-1.0124089,-0.63471824,-0.6078278
1,"096",-0.40892676,0.3725112,-0.6662866,0.21934442,1.4844908,0.3878527,1.3768673,1.2046721
1,"097",-0.8541866,-0.7700021,-0.8394289,-0.8607033,-0.8096863,-0.26052484,-1.7270416,-1.6392138
1,"098",-0.23481421,-1.3404937,-1.1140711,-0.96053964,0.0077569904,-1.4538304,-0.9774872,-1.992289
