time,sub,run,FS-left-amygdala,FS-right-amygdala
156,pixar129,run-01,0.27174962,0.18760681
157,pixar129,run-01,0.32014483,-0.02531533
158,pixar129,run-01,0.03618212,-0.05890709
159,pixar129,run-01,0.0112673,0.11197785
160,pixar129,run-01,-0.08151667,0.4096484
161,pixar129,run-01,0.8625108,0.42766684
162,pixar129,run-01,0.3762312,0.45118436
163,pixar129,run-01,0.30049118,0.46018368
164,pixar129,run-01,0.21997008,0.21873747
165,pixar129,run-01,0.11227499,0.63508123
166,pixar129,run-01,0.43901268,1.4556028
167,pixar129,run-01,0.5793085,0.39910403
0,pixar130,run-01,-0.14906241,-0.08349103
1,pixar130,run-01,-0.2619423,-0.8076518
2,pixar130,run-01,-0.098240405,-0.24928387
3,pixar130,run-01,0.378119,0.46460667
4,pixar130,run-01,-0.6068113,0.02062726
5,pixar130,run-01,0.32808343,0.43210235
6,pixar130,run-01,-0.7070306,-0.16245021
7,pixar130,run-01,-0.2911254,-0.19342561
8,pixar130,run-01,0.05851522,-0.13866532
9,pixar130,run-01,-0.39813668,-0.17261344
10,pixar130,run-01,-0.45168963,-0.31754765
11,pixar130,run-01,-0.7684928,-0.21953706
12,pixar130,run-01,-0.67449635,-0.42397627
13,pixar130,run-01,-0.056714676,0.23542528
14,pixar130,run-01,0.03880804,0.31090552
15,pixar130,run-01,-0.39709902,-0.20679496
16,pixar130,run-01,-0.18871261,-0.23054938
17,pixar130,run-01,0.13017164,0.101551615
18,pixar130,run-01,0.22608481,-0.19910268
19,pixar130,run-01,0.45467204,0.13933116
20,pixar130,run-01,0.41801044,0.382416
21,pixar130,run-01,-0.27750975,-0.3160114
22,pixar130,run-01,-1.1436597,-0.24036181
23,pixar130,run-01,0.08912679,0.067934774
24,pixar130,run-01,-0.2029237,-0.21710955
25,pixar130,run-01,0.03007134,0.22306447
26,pixar130,run-01,0.08432569,-0.24923962
27,pixar130,run-01,-0.4229777,-0.14028685
28,pixar130,run-01,0.01637351,0.003974614
29,pixar130,run-01,-0.02835134,0.14835411
30,pixar130,run-01,-0.07035095,-0.11394242
31,pixar130,run-01,-0.23415533,-0.005461437
32,pixar130,run-01,-0.07109507,0.17959434
33,pixar130,run-01,0.05938238,0.2046852
34,pixar130,run-01,0.09986716,0.05905643
35,pixar130,run-01,0.44360828,0.089474194
36,pixar130,run-01,0.16245015,-0.09258304
37,pixar130,run-01,-0.31877908,-0.17229986
38,pixar130,run-01,-0.10313794,-0.072765134
39,pixar130,run-01,-0.15874825,-0.01012924
40,pixar130,run-01,-0.19424304,0.096905075
41,pixar130,run-01,0.22300576,-0.029093763
42,pixar130,run-01,0.24297921,0.39186764
43,pixar130,run-01,0.34139138,0.09094002
44,pixar130,run-01,-0.17135876,-0.055724997
45,pixar130,run-01,-0.17861143,0.09150534
46,pixar130,run-01,0.05233866,-0.09773103
47,pixar130,run-01,0.05499008,0.051863298
48,pixar130,run-01,0.23673981,0.115880996
49,pixar130,run-01,-0.08258801,-0.025537694
50,pixar130,run-01,-0.41826582,-0.32777098
51,pixar130,run-01,-0.33147195,-0.5480349
52,pixar130,run-01,0.2735575,-0.28019974
53,pixar130,run-01,-0.44241813,-0.07236128
54,pixar130,run-01,0.041721936,-0.11866379
55,pixar130,run-01,-0.010538925,-0.26898563
56,pixar130,run-01,-0.19119753,-0.043391407
57,pixar130,run-01,0.0021611962,-0.09973266
58,pixar130,run-01,-0.16778304,0.12280133
59,pixar130,run-01,0.24092424,0.14234467
60,pixar130,run-01,0.20762719,0.21366465
61,pixar130,run-01,0.20794761,-0.009161043
62,pixar130,run-01,0.127933,-0.022625672
63,pixar130,run-01,-0.40634328,-0.48226666
64,pixar130,run-01,-0.25236654,-0.24215567
65,pixar130,run-01,0.015196112,-0.032510508
66,pixar130,run-01,0.07788435,0.015336462
67,pixar130,run-01,-0.51469594,-0.01518862
68,pixar130,run-01,-0.15644297,-0.08137237
69,pixar130,run-01,-0.04822145,0.10147228
70,pixar130,run-01,-0.49323332,-0.22679585
71,pixar130,run-01,-0.4299232,-0.13950606
72,pixar130,run-01,-0.31284285,-0.03761543
73,pixar130,run-01,-0.18254146,0.08374707
74,pixar130,run-01,0.0070843594,0.008643965
